epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.7681,2.09194,2.70756,1.97707,0.74665,0.31217,0.37546,0.14251,1.91109,13.8532,2.00631,0.0677674,0.000325581,0.000325581
2,48.1713,1.96761,1.59876,1.813,0.34428,0.6204,0.34231,0.13572,1.9263,6.71999,2.12488,0.0347631,0.000654566,0.000654566
3,69.8751,1.94392,1.4639,1.80453,0.31914,0.59217,0.34486,0.13864,2.00169,5.11648,2.10364,0.00175434,0.00097915,0.00097915
4,91.872,2.01555,1.56959,1.88523,0.45489,0.52957,0.4277,0.15989,2.03289,2.16916,2.06834,0.0009802,0.0009802,0.0009802
5,113.667,1.92921,1.50103,1.82441,0.56793,0.58721,0.55739,0.23248,2.00099,1.58867,2.00924,0.0009736,0.0009736,0.0009736
6,135.844,1.94269,1.43378,1.78035,0.61246,0.60329,0.63699,0.27018,2.01002,1.42291,1.92318,0.000967,0.000967,0.000967
7,157.945,1.93191,1.41535,1.82182,0.68479,0.67657,0.69185,0.29901,1.93619,1.31632,1.89236,0.0009604,0.0009604,0.0009604
8,180.328,1.93567,1.41318,1.80356,0.58439,0.68957,0.65488,0.28467,1.99805,1.43498,1.88884,0.0009538,0.0009538,0.0009538
9,202.395,1.93822,1.4379,1.82364,0.73919,0.66982,0.72584,0.29716,1.97641,1.30823,1.91951,0.0009472,0.0009472,0.0009472
10,224.64,1.89925,1.36431,1.76419,0.58858,0.60317,0.5955,0.25652,1.96554,1.39587,1.87979,0.0009406,0.0009406,0.0009406
11,246.257,1.91994,1.35069,1.78671,0.53271,0.61243,0.56035,0.23871,1.88158,1.81432,1.84026,0.000934,0.000934,0.000934
12,268.262,1.88565,1.30276,1.76279,0.69794,0.71608,0.74427,0.29634,2.00635,1.21428,1.92521,0.0009274,0.0009274,0.0009274
13,290.148,1.90316,1.31801,1.79258,0.63856,0.65217,0.67651,0.26715,1.94152,1.2939,1.90135,0.0009208,0.0009208,0.0009208
14,312.231,1.92876,1.29865,1.82251,0.72013,0.64609,0.67391,0.2963,1.90761,1.22525,1.84197,0.0009142,0.0009142,0.0009142
15,333.829,1.88911,1.32051,1.75534,0.81573,0.67425,0.7645,0.34749,1.86301,1.18855,1.80355,0.0009076,0.0009076,0.0009076
16,356.067,1.87632,1.27891,1.73028,0.72955,0.71391,0.76698,0.32781,1.89809,1.23335,1.86338,0.000901,0.000901,0.000901
17,378.344,1.86014,1.28375,1.73626,0.76043,0.68957,0.75782,0.34598,1.85581,1.30506,1.79077,0.0008944,0.0008944,0.0008944
18,400.709,1.87056,1.23443,1.74699,0.80979,0.71968,0.76592,0.33611,1.91689,1.07749,1.84261,0.0008878,0.0008878,0.0008878
19,423.23,1.82299,1.25488,1.72346,0.79639,0.75478,0.77169,0.35279,1.87824,1.17107,1.82773,0.0008812,0.0008812,0.0008812
20,445.363,1.88739,1.2399,1.75559,0.81799,0.74481,0.78455,0.35256,1.91127,1.05208,1.79792,0.0008746,0.0008746,0.0008746
21,467.638,1.85977,1.25667,1.71597,0.79547,0.73304,0.79426,0.35093,1.95167,1.06963,1.85212,0.000868,0.000868,0.000868
22,489.219,1.83274,1.24988,1.7114,0.81899,0.76801,0.78261,0.34163,1.88492,1.08835,1.8174,0.0008614,0.0008614,0.0008614
23,511.118,1.8283,1.22676,1.71404,0.84165,0.69704,0.78931,0.34625,1.86936,1.01965,1.81764,0.0008548,0.0008548,0.0008548
24,533.296,1.79602,1.20185,1.72038,0.82883,0.75043,0.79496,0.35037,1.90795,1.04272,1.81936,0.0008482,0.0008482,0.0008482
25,554.751,1.81689,1.16882,1.70696,0.80972,0.76281,0.80086,0.35749,1.92603,1.05731,1.85572,0.0008416,0.0008416,0.0008416
26,576.914,1.8143,1.17379,1.70422,0.75271,0.7513,0.79342,0.36294,1.87153,1.04579,1.81947,0.000835,0.000835,0.000835
27,598.906,1.82444,1.17316,1.73413,0.79238,0.72957,0.79,0.3639,1.87885,1.04567,1.80357,0.0008284,0.0008284,0.0008284
28,621.128,1.80942,1.2162,1.70146,0.78596,0.72729,0.77609,0.3505,1.87501,1.03011,1.80351,0.0008218,0.0008218,0.0008218
29,642.828,1.82509,1.17372,1.71099,0.7805,0.73327,0.80067,0.34884,1.96356,1.04992,1.86163,0.0008152,0.0008152,0.0008152
30,665.637,1.80095,1.18785,1.69122,0.80121,0.7287,0.79465,0.35667,1.86339,1.04792,1.80746,0.0008086,0.0008086,0.0008086
31,687.582,1.78077,1.1112,1.67708,0.8108,0.72563,0.80493,0.3678,1.90958,0.99939,1.82721,0.000802,0.000802,0.000802
32,709.224,1.78096,1.15103,1.70264,0.74964,0.69792,0.74251,0.33126,1.92817,1.07266,1.84311,0.0007954,0.0007954,0.0007954
33,731.336,1.80869,1.17025,1.71609,0.77069,0.7113,0.76419,0.30304,2.01754,1.11383,1.93794,0.0007888,0.0007888,0.0007888
34,753.764,1.77617,1.14026,1.69961,0.79226,0.73275,0.77272,0.33579,1.91545,0.99726,1.84837,0.0007822,0.0007822,0.0007822
35,775.823,1.80769,1.10678,1.70249,0.76953,0.75217,0.78466,0.34384,1.92516,1.02087,1.86583,0.0007756,0.0007756,0.0007756
36,797.644,1.80374,1.14991,1.69264,0.80806,0.76522,0.81503,0.36792,1.91164,0.96608,1.8177,0.000769,0.000769,0.000769
37,819.683,1.80315,1.11584,1.69521,0.77325,0.78147,0.80703,0.36035,1.9004,0.98822,1.81829,0.0007624,0.0007624,0.0007624
38,841.864,1.77515,1.13411,1.6652,0.81005,0.7713,0.79951,0.35422,1.89093,0.95864,1.8212,0.0007558,0.0007558,0.0007558
39,863.536,1.76729,1.11763,1.67588,0.78346,0.74872,0.78417,0.34604,1.93082,1.03359,1.8333,0.0007492,0.0007492,0.0007492
40,886.207,1.79031,1.1024,1.68986,0.81455,0.76696,0.8047,0.35157,1.89365,1.05894,1.87742,0.0007426,0.0007426,0.0007426
41,908.257,1.74394,1.08815,1.67235,0.77439,0.72087,0.77862,0.35126,1.91176,0.99531,1.8397,0.000736,0.000736,0.000736
42,929.899,1.76928,1.09241,1.64435,0.79962,0.74087,0.79351,0.38062,1.8649,1.01238,1.77988,0.0007294,0.0007294,0.0007294
43,951.982,1.75564,1.09486,1.65851,0.78045,0.72416,0.76874,0.33691,1.95664,1.0612,1.8648,0.0007228,0.0007228,0.0007228
44,973.897,1.7271,1.06548,1.6559,0.79294,0.77913,0.79504,0.3598,1.9162,0.97534,1.84161,0.0007162,0.0007162,0.0007162
45,995.806,1.78623,1.101,1.67879,0.77769,0.75389,0.80095,0.35971,1.90284,0.98396,1.85967,0.0007096,0.0007096,0.0007096
46,1017.59,1.76428,1.07045,1.67088,0.80327,0.75391,0.809,0.369,1.87865,0.91873,1.79346,0.000703,0.000703,0.000703
47,1039.62,1.73349,1.03987,1.64505,0.79726,0.75338,0.80182,0.37459,1.88307,0.94226,1.80795,0.0006964,0.0006964,0.0006964
48,1061.79,1.70344,1.04892,1.63395,0.83076,0.74522,0.82262,0.36747,1.91369,0.93231,1.84469,0.0006898,0.0006898,0.0006898
49,1083.32,1.71313,1.04353,1.65171,0.80397,0.74348,0.8023,0.35812,1.89803,0.93272,1.82801,0.0006832,0.0006832,0.0006832
50,1105.8,1.73054,1.0478,1.64425,0.82933,0.73317,0.81312,0.36693,1.89253,0.92553,1.81067,0.0006766,0.0006766,0.0006766
51,1128.49,1.70686,1.02355,1.63544,0.8014,0.75446,0.8063,0.35065,1.89677,0.95753,1.86781,0.00067,0.00067,0.00067
52,1150.05,1.72382,1.05505,1.6625,0.8006,0.78989,0.81096,0.35164,1.94895,0.93587,1.91503,0.0006634,0.0006634,0.0006634
53,1172.05,1.69061,1.01516,1.62725,0.79511,0.77842,0.81214,0.37009,1.86969,0.91946,1.81111,0.0006568,0.0006568,0.0006568
54,1194.04,1.71078,1.03082,1.64979,0.82571,0.7325,0.79993,0.35367,1.92414,0.93207,1.83516,0.0006502,0.0006502,0.0006502
55,1215.41,1.70342,1.0178,1.62993,0.79809,0.76373,0.80652,0.35105,1.89988,0.91082,1.83214,0.0006436,0.0006436,0.0006436
56,1237.46,1.68888,0.96849,1.63354,0.79318,0.79262,0.80058,0.35413,1.94606,0.91262,1.87643,0.000637,0.000637,0.000637
57,1259.3,1.7317,0.99186,1.65498,0.82305,0.74,0.80734,0.36755,1.95993,0.9133,1.85574,0.0006304,0.0006304,0.0006304
58,1281.19,1.71581,1.00316,1.631,0.82742,0.76854,0.82346,0.3716,1.93159,0.89944,1.83609,0.0006238,0.0006238,0.0006238
59,1303.07,1.69547,1.01391,1.60741,0.84746,0.77652,0.81497,0.36383,1.91202,0.89592,1.86216,0.0006172,0.0006172,0.0006172
60,1324.91,1.69009,0.95932,1.6107,0.84135,0.79391,0.82867,0.36932,1.91452,0.88176,1.81679,0.0006106,0.0006106,0.0006106
61,1346.97,1.68479,0.95715,1.61577,0.86093,0.76022,0.81443,0.35712,1.9635,0.89739,1.86129,0.000604,0.000604,0.000604
62,1369.06,1.68909,0.96063,1.61053,0.82332,0.76466,0.80315,0.3412,1.9908,0.89243,1.89791,0.0005974,0.0005974,0.0005974
63,1391.03,1.68367,0.9782,1.64314,0.80914,0.77366,0.81329,0.37624,1.90903,0.86341,1.83686,0.0005908,0.0005908,0.0005908
64,1413.01,1.69708,0.96149,1.6408,0.83867,0.75938,0.81498,0.36157,1.96345,0.92692,1.87631,0.0005842,0.0005842,0.0005842
65,1434.53,1.67052,0.95554,1.59674,0.81927,0.76733,0.80967,0.36029,1.9749,0.88993,1.85796,0.0005776,0.0005776,0.0005776
66,1457.27,1.69988,0.99646,1.62005,0.81541,0.77451,0.81157,0.36828,1.94914,0.89114,1.84313,0.000571,0.000571,0.000571
67,1479.25,1.64808,0.99423,1.608,0.85369,0.78677,0.82324,0.35753,1.91086,0.85591,1.85334,0.0005644,0.0005644,0.0005644
